id,clinic_id,year,age_min,age_max,num_cycles, pct_cycles_cancelled , pct_cycles_stopped , pct_cycles_fertility_preservation , pct_transfers_gestational_carrier , pct_transfers_frozen_embryos , pct_transfers_icsi , pct_transfers_pgt 
1,75,2019,,34,677,0.067,0.042,0.338,0.034,0.722,0.752,0.414
2,78,2019,,34,818,0.076,0.168,0.053,0.03,0.847,0.869,0.5
3,69,2019,,34,519,0.025,0.064,0.094,0.447,0.996,0.933,0.584
4,62,2019,,34,545,0.041,0.105,0.154,0.112,0.995,0.847,0.823
5,74,2019,,34,755,0.022,0.017,0.475,0.039,0.976,0.912,0.893
6,72,2019,,34,440,0.017,0.023,0.28,0.067,0.946,0.544,0.846
7,87,2019,,34,427,0.067,0.056,0.094,0.117,1,0.904,0.846
8,84,2019,,34,436,0.046,0.083,0.312,0,0.866,0.713,0.628
9,32,2019,,34,531,0.046,0.044,0.028,0,0.696,0.959,0.386
10,65,2019,,34,467,0.058,0.079,0.028,0.021,0.979,0.613,0.529
11,40,2019,,34,302,0.062,0.406,0.099,0,1,0.921,0.64
12,76,2019,,34,250,0.068,0.162,0.088,0.019,0.684,0.785,0.152
13,73,2019,,34,401,0.006,0.03,0.586,0.014,0.986,0.892,0.838
14,51,2019,,34,195,0,0.051,0.292,0.04,1,0.96,1
15,29,2019,,34,204,0.029,0.075,0.279,0.419,0.978,0.022,0.989
16,64,2019,,34,292,0.055,0.137,0.048,0.005,0.868,0.747,0.159
17,30,2019,,34,119,0.014,0.085,0.067,0.022,1,1,1
18,63,2019,,34,171,0.013,0.018,0.006,0,0.97,0.293,0.141
19,66,2019,,34,220,0.052,0.121,0.091,0.018,0.894,0.956,0.69
20,71,2019,,34,193,0.009,0.104,0.238,0.033,0.756,0.956,0.567
21,53,2019,,34,136,0.015,0.185,0.206,0.03,0.97,0.149,0.373
22,68,2019,,34,138,0,0.022,0,0.738,1,0,0
23,77,2019,,34,201,0.118,0.059,0.005,0.017,0.661,0.488,0.306
24,89,2019,,34,95,0.021,0.319,0.032,0.061,0.959,0.367,0.143
25,28,2019,,34,122,0.016,0.05,0.041,0.121,0.983,0.879,0.741
26,85,2019,,34,109,0.017,0.019,0.147,0.176,0.98,0.961,0.804
27,25,2019,,34,169,0.062,0.178,0.059,0.043,0.539,0.948,0.061
28,88,2019,,34,124,0.047,0.025,0.089,0.092,0.414,0.816,0.138
29,35,2019,,34,70,0,0,0.114,0.111,0.944,0.722,0.722
30,49,2019,,34,122,0.059,0.034,0.082,0,0.857,0.778,0.698
31,91,2019,,34,131,0.082,0.143,0.092,0,0.902,0.393,0.066
32,67,2019,,34,76,0,0.039,0,0.588,1,1,0.912
33,24,2019,,34,63,0.174,0.017,0,0.051,1,1,0.974
34,31,2019,,34,76,0,0.092,0.066,0,0.854,0.927,0.268
35,59,2019,,34,67,0.133,0.175,0,0,0.778,0.6,0.067
36,79,2019,,34,59,0,0.119,0.085,0,0.6,0.85,0.375
37,82,2019,,34,58,0.111,0.111,0.034,0,0.5,0.81,0.095
38,58,2019,,34,78,0.019,0.104,0.013,0.025,0.625,0.85,0.425
39,27,2019,,34,52,0,0.038,0.077,0.094,0.594,1,0.875
40,50,2019,,34,30,0,0.033,0.033,,1,1,0.5
41,26,2019,,34,34,0,0,0,0.478,0.957,1,0.913
42,57,2019,,34,28,0,0,0.357,,1,0.66667,0.91667
43,86,2019,,34,28,0,0,0.107,,0.5,0.75,0.5
44,52,2019,,34,32,,0,0,0,0.85,1,0.3
45,21,2019,,34,11,0,0,,,0.83333,1,0.83333
46,20,2019,,34,,,,,,,,
47,70,2019,,34,9,0,0,0.88889,  ,  ,  ,
48,60,2019,,34,2332,0.033,0.065,0.087,0.293,0.92,0.733,0.836
49,38,2019,,34,503,0.09,0.133,0.012,0.104,0.951,1,0.785
50,23,2019,,34,536,0.034,0.237,0.252,0.091,1,0.817,0.931
51,41,2019,,34,219,0.077,0.053,0.196,0.306,0.976,0.918,0.894
52,48,2019,,34,214,0.062,0.112,0.364,0.123,0.767,0.822,0.438
53,45,2019,,34,244,0.009,0.053,0.238,0.515,0.992,0.4,0.838
54,90,2019,,34,225,0.023,0.176,0.067,0.11,0.857,0.681,0.451
55,39,2019,,34,251,0.008,0.024,0.028,0.076,0.908,0.992,0.748
56,56,2019,,34,167,0.014,0.048,0.078,0.078,1,0.9,1
