OrderID,CurrentClinicName1,CurrentClinicName2,CurrentClinicCity,CurrentClinicState,MedicalDirector,ND_NumIntentRet1,ND_NumIntentRet2,ND_NumIntentRet3,ND_NumIntentRet4,ND_IntentRetLB1,ND_IntentRetLB2,ND_IntentRetLB3,ND_IntentRetLB4,ND_IntentRetSingleLB1,ND_IntentRetSingleLB2,ND_IntentRetSingleLB3,ND_IntentRetSingleLB4,ND_NumRetrieve1,ND_NumRetrieve2,ND_NumRetrieve3,ND_NumRetrieve4,ND_RetrieveLB1,ND_RetrieveLB2,ND_RetrieveLB3,ND_RetrieveLB4,ND_RetrieveSingleLB1,ND_RetrieveSingleLB2,ND_RetrieveSingleLB3,ND_RetrieveSingleLB4,ND_NumTrans1,ND_NumTrans2,ND_NumTrans3,ND_NumTrans4,ND_TransLB1,ND_TransLB2,ND_TransLB3,ND_TransLB4,ND_TransSingleLB1,ND_TransSingleLB2,ND_TransSingleLB3,ND_TransSingleLB4,ND_IntentRetPerLB1,ND_IntentRetPerLB2,ND_IntentRetPerLB3,ND_IntentRetPerLB4,NewND_1IntentRetLB1,NewND_1IntentRetLB2,NewND_1IntentRetLB3,NewND_1IntentRetLB4,NewND_2IntentRetLB1,NewND_2IntentRetLB2,NewND_2IntentRetLB3,NewND_2IntentRetLB4,NewND_AllIntentRetLB1,NewND_AllIntentRetLB2,NewND_AllIntentRetLB3,NewND_AllIntentRetLB4,NewND_IntentRetPerNew1,NewND_IntentRetPerNew2,NewND_IntentRetPerNew3,NewND_IntentRetPerNew4,NewND_TransPerIntentRet1,NewND_TransPerIntentRet2,NewND_TransPerIntentRet3,NewND_TransPerIntentRet4,Donor_NumTrans1,Donor_NumTrans2,Donor_NumTrans3,Donor_NumTrans4,Donor_TransLB1,Donor_TransLB2,Donor_TransLB3,Donor_TransLB4,Donor_TranSingleLB1,Donor_TranSingleLB2,Donor_TranSingleLB3,Donor_TranSingleLB4,TotNumCycles1,TotNumCycles2,TotNumCycles3,TotNumCycles4,TotNumCyclesAll,CycleCancel1,CycleCancel2,CycleCancel3,CycleCancel4,CycleCancelAll,CycleStop1,CycleStop2,CycleStop3,CycleStop4,CycleStopAll,CycleFertPres1,CycleFertPres2,CycleFertPres3,CycleFertPres4,CycleFertPresAll,TransCarrier1,TransCarrier2,TransCarrier3,TransCarrier4,TransCarrierAll,TransFrozEmb1,TransFrozEmb2,TransFrozEmb3,TransFrozEmb4,TransFrozEmbAll,TransICSI1,TransICSI2,TransICSI3,TransICSI4,TransICSIAll,TransPGT1,TransPGT2,TransPGT3,TransPGT4,TransPGTAll,ReasonMale,ReasonEndo,ReasonTubal,ReasonOvul,ReasonUterine,ReasonPGT,ReasonCarrier,ReasonDOR,ReasonBank,ReasonPregLoss,ReasonOtherInfert,ReasonNonInfert,ReasonUnexplained,DonorEggService,DonatedEmbryoService,EmbryoCryoService,EggCryoService,GestCarrierService,SARTmember,LabAccred,NumResearch,CurrentStateAbbrev,gcode,point,lat,lon
1,ART FERTILITY PROGRAM OF ALABAMA,,BIRMINGHAM,ALABAMA,"Michael C Allemand, MD",134,54,35,12,0.463,29.60%,14.30%,* / 12,0.44,27.80%,8.60%,* / 12,115,48,25,9,53.90%,33.30%,20.00%,* / 9,51.30%,31.30%,12.00%,* / 9,147,45,17,*,42.20%,35.60%,17-May,* / *,40.10%,33.30%,* / 17,* / *,2.2,3.4,7,12,45.70%,38.50%,* / 17,* / 7,50.00%,46.20%,* / 17,* / 7,51.10%,53.80%,* / 17,* / 7,1.2,1.3,1.2,1.1,1.2,0.9,0.5,0.3,0,5,9,12,,* / 5,* / 9,12-Jun,,* / 5,* / 9,12-Jun,284,76,47,47,454,5.60%,28.90%,11.50%,17.40%,11.80%,16.20%,24.60%,20.50%,27.90%,19.10%,1.10%,1.30%,0.00%,0.00%,0.90%,0.60%,2.90%,0.00%,7.40%,1.50%,77.20%,82.90%,72.00%,55.60%,75.30%,0.856,82.90%,80.00%,55.60%,81.60%,0.111,31.40%,16.00%,7.40%,13.90%,52%,21%,25%,0.09,3%,12%,1%,0.14,21%,12%,49%,17%,3%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AL,"Birmingham, Jefferson County, Alabama, United States","(33.5206824, -86.8024326, 0.0)",33.5206824,-86.8024326
2,UNIVERSITY OF ALABAMA AT BIRMINGHAM,REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,BIRMINGHAM,ALABAMA,"Deidre D. Gunn, MD",44,13,10,*,0.568,13-May,* / 10,* / *,0.5,13-May,* / 10,* / *,42,11,7,*,59.50%,11-May,* / 7,* / *,52.40%,11-May,* / 7,* / *,48,13,5,5,52.10%,13-May,* / 5,* / 5,45.80%,13-May,* / 5,* / 5,1.8,2.6,5,2,55.60%,* / 6,* / 8,* / *,61.10%,* / 6,* / 8,* / *,61.10%,* / 6,* / 8,* / *,1.1,1.2,1.1,1,1.1,1.1,0.6,1,0,*,8,*,,* / *,* / 8,0 / *,,* / *,* / 8,0 / *,67,34,21,29,151,11.50%,* / 14,* / 11,* / 7,13.80%,20.30%,15.20%,* / 18,21.40%,18.90%,7.50%,11.80%,9.50%,0.00%,7.30%,2.80%,* / 19,* / 8,* / 18,4.90%,91.70%,19 / 19,8-Aug,14 / 18,91.40%,0.556,19-Aug,8-Jul,18-Dec,58.00%,0.528,19-Aug,* / 8,18-Jun,45.70%,40%,8%,23%,0.08,15%,9%,1%,0.21,25%,2%,15%,4%,4%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AL,"Birmingham, Jefferson County, Alabama, United States","(33.5206824, -86.8024326, 0.0)",33.5206824,-86.8024326
3,ALABAMA FERTILITY SPECIALISTS,,HOMEWOOD,ALABAMA,"Mamie R McLean, MD",117,46,30,22,0.504,32.60%,20.00%,9.10%,0.444,26.10%,16.70%,9.10%,110,40,23,19,53.60%,37.50%,26.10%,* / 19,47.30%,30.00%,21.70%,* / 19,136,52,23,14,43.40%,28.80%,26.10%,* / 14,38.20%,23.10%,21.70%,* / 14,2,3.1,5,11,54.40%,40.00%,* / 17,0 / 10,60.00%,43.30%,17-Jun,* / 10,60.00%,43.30%,17-Jun,* / 10,1.2,1.2,1.4,1.8,1.2,1.2,0.7,0.6,5,8,6,0,* / 5,* / 8,* / 6,,* / 5,* / 8,* / 6,,196,91,70,56,413,6.40%,8.50%,19.00%,25.70%,12.00%,24.90%,27.60%,25.80%,25.50%,25.70%,3.60%,1.10%,5.70%,0.00%,2.90%,0.80%,0.00%,0.00%,3.00%,0.80%,65.00%,73.10%,61.30%,33.30%,61.90%,0.625,42.30%,58.10%,42.40%,54.70%,0.067,25.00%,25.80%,3.00%,12.70%,31%,19%,13%,0.12,4%,3%,<1%,0.13,13%,9%,13%,2%,11%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,AL,"Homewood, Jefferson County, Alabama, United States","(33.4717732, -86.8008228, 0.0)",33.4717732,-86.8008228
4,FERTILITY INSTITUTE OF NORTH ALABAMA,,HUNTSVILLE,ALABAMA,"Brett Davenport, MD",0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,32,8,7,*,50,* / 17,0 / 5,0 / *,0 / *,3.70%,3.20%,* / 8,* / 7,* / *,12.20%,0.00%,0 / 8,0 / 7,0 / *,0.00%,0 / 19,0 / *,0 / *,0 / *,0.00%,15 / 19,* / *,* / *,* / *,82.10%,19-Dec,* / *,* / *,0 / *,50.00%,19-May,0 / *,* / *,0 / *,21.40%,26%,12%,14%,0.26,10%,20%,0%,0.14,14%,6%,0%,0%,26%,Yes,No,Yes,Yes,Yes,No,Pending,0,AL,"Huntsville, Madison County, Alabama, United States","(34.729847, -86.5859011, 0.0)",34.729847,-86.5859011
5,CENTER FOR REPRODUCTIVE MEDICINE,,MOBILE,ALABAMA,"George T. Koulianos, MD",78,45,43,13,0.628,44.40%,18.60%,0 / 13,0.577,42.20%,16.30%,0 / 13,74,44,36,10,66.20%,45.50%,22.20%,0 / 10,60.80%,43.20%,19.40%,0 / 10,86,42,29,5,57.00%,47.60%,27.60%,0 / 5,52.30%,45.20%,24.10%,0 / 5,1.6,2.3,5.4,,66.10%,50.00%,17.40%,0 / *,67.70%,53.30%,26.10%,0 / *,69.40%,56.70%,26.10%,0 / *,1.1,1.2,1.7,1.5,1.1,0.9,0.7,0.5,0,11,15,*,,11-May,15-Jun,0 / *,,11-May,15-Jun,0 / *,127,107,55,50,339,7.00%,19.00%,8.30%,* / 18,11.70%,17.10%,17.90%,5.70%,12.20%,14.70%,2.40%,1.90%,7.30%,0.00%,2.70%,1.10%,1.80%,2.90%,0.00%,1.40%,72.70%,75.00%,82.90%,65.60%,73.90%,0.909,98.20%,91.40%,62.50%,88.60%,0.034,39.30%,25.70%,28.10%,20.40%,49%,17%,20%,0.17,1%,26%,<1%,0.09,19%,6%,32%,2%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AL,"Mobile, Mobile County, Alabama, United States","(30.6943566, -88.0430541, 0.0)",30.6943566,-88.0430541
6,NEW DIRECTION FERTILITY CENTERS,,GILBERT,ARIZONA,"Mark Amols, MD",210,109,93,68,0.667,58.70%,36.60%,19.10%,0.471,45.90%,30.10%,19.10%,206,108,91,62,68.00%,59.30%,37.40%,21.00%,48.10%,46.30%,30.80%,21.00%,187,88,59,23,74.90%,72.70%,57.60%,56.50%,52.90%,56.80%,47.50%,56.50%,1.5,1.7,2.7,5.2,76.00%,59.70%,37.20%,18.50%,79.30%,70.10%,44.20%,29.60%,80.00%,71.60%,46.50%,33.30%,1.1,1.2,1.3,1.4,1,0.9,0.7,0.5,*,0,21,0,* / *,,61.90%,,* / *,,57.10%,,511,238,218,157,1124,0.40%,4.80%,1.90%,10.80%,3.40%,3.50%,3.40%,6.00%,13.60%,5.30%,2.00%,3.40%,0.90%,2.50%,2.10%,0.00%,0.00%,0.00%,3.20%,0.40%,96.70%,100.00%,100.00%,100.00%,98.40%,0.781,83.20%,76.60%,57.10%,76.50%,0.708,87.60%,87.90%,68.30%,77.20%,31%,9%,12%,0.15,3%,75%,<1%,0.3,96%,6%,1%,7%,14%,Yes,No,Yes,Yes,Yes,No,Yes,0,AZ,"Gilbert, Maricopa County, Arizona, United States","(33.3527632, -111.7890373, 0.0)",33.3527632,-111.7890373
7,"ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS, LLC",,PHOENIX,ARIZONA,"Drew V. Moffitt, MD",66,32,31,18,0.606,46.90%,19.40%,* / 18,0.5,37.50%,19.40%,* / 18,62,31,25,12,64.50%,48.40%,24.00%,* / 12,53.20%,38.70%,24.00%,* / 12,73,31,23,12,54.80%,48.40%,26.10%,* / 12,45.20%,38.70%,26.10%,* / 12,1.7,2.1,5.2,18,64.90%,60.90%,* / 19,* / 12,68.40%,60.90%,* / 19,* / 12,68.40%,60.90%,* / 19,* / 12,1.1,1.1,1.2,1.2,1.1,1,0.9,0.9,0,6,20,*,,* / 6,40.00%,* / *,,* / 6,40.00%,* / *,191,74,75,60,400,3.40%,0.00%,12.10%,0.00%,4.10%,6.90%,13.50%,8.50%,10.00%,8.90%,0.00%,1.40%,1.30%,0.00%,0.50%,7.40%,0.00%,5.40%,0.00%,4.40%,96.80%,92.50%,100.00%,90.60%,95.60%,0.926,90.00%,86.50%,71.90%,87.70%,0.232,32.50%,45.90%,28.10%,29.90%,47%,7%,18%,0.14,1%,1%,1%,0.43,42%,2%,7%,5%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ,"Phoenix, Maricopa County, Arizona, United States","(33.4484367, -112.0741417, 0.0)",33.4484367,-112.0741417
8,GONDRA CENTER FOR REPRODUCTIVE CARE & ADVANCED GYNECOLOGY,,PHOENIX,ARIZONA,"Maria M. Gondra, MD",17,12,8,5,17-Jun,* / 12,* / 8,* / 5,17-Jun,* / 12,* / 8,* / 5,17,12,7,*,17-Jun,* / 12,* / 7,* / *,17-Jun,* / 12,* / 7,* / *,25,8,*,*,24.00%,* / 8,* / *,* / *,24.00%,* / 8,* / *,* / *,2.8,4,4,5,15-Jun,* / 6,* / 5,0 / *,15-Jun,* / 6,* / 5,0 / *,15-Jun,* / 6,* / 5,0 / *,1.1,1.7,1.2,1.3,1.5,0.6,0.3,0.5,0,*,5,0,,0 / *,* / 5,,,0 / *,* / 5,,51,19,13,14,97,0.00%,* / 15,0 / 8,* / 7,3.70%,7.80%,18-Jun,* / 13,* / 13,15.80%,2.00%,0 / 19,0 / 13,0 / 14,1.00%,0.00%,0 / 7,0 / 5,0 / 8,0.00%,86.20%,* / 7,5-May,8-May,79.60%,0.517,7-Jun,* / 5,8-Aug,67.30%,0.207,* / 7,* / 5,0 / 8,26.50%,52%,33%,16%,0.24,22%,7%,0%,0.42,44%,13%,14%,0%,6%,No,No,Yes,Yes,Yes,Yes,No,0,AZ,"Phoenix, Maricopa County, Arizona, United States","(33.4484367, -112.0741417, 0.0)",33.4484367,-112.0741417
9,SOUTHWEST FERTILITY CENTER,,PHOENIX,ARIZONA,"Sujatha Gunnala, MD",41,22,21,7,0.561,36.40%,4.80%,0 / 7,0.512,36.40%,4.80%,0 / 7,41,22,20,6,56.10%,36.40%,5.00%,0 / 6,51.20%,36.40%,5.00%,0 / 6,57,20,20,*,40.40%,40.00%,5.00%,0 / *,36.80%,40.00%,5.00%,0 / *,1.8,2.8,21,,58.30%,16-Aug,* / 10,0 / *,63.90%,16-Aug,* / 10,0 / *,63.90%,16-Aug,* / 10,0 / *,1.1,1.1,1.4,1,1.4,1,0.9,1,6,0,14,*,* / 6,,14-May,0 / *,* / 6,,* / 14,0 / *,83,48,54,30,215,0.00%,3.60%,0.00%,* / 18,1.70%,6.00%,4.30%,1.90%,6.90%,4.70%,1.20%,8.30%,3.70%,0.00%,3.30%,1.70%,0.00%,6.10%,9.50%,3.50%,73.30%,63.30%,63.60%,52.40%,66.00%,0.95,86.70%,97.00%,81.00%,91.70%,0.217,23.30%,42.40%,23.80%,27.10%,32%,10%,19%,0.13,10%,4%,2%,0.3,28%,4%,7%,2%,8%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ,"Phoenix, Maricopa County, Arizona, United States","(33.4484367, -112.0741417, 0.0)",33.4484367,-112.0741417
10,"ADVANCED FERTILITY CARE, PLLC",,SCOTTSDALE,ARIZONA,"Frederick W. Larsen, MD",90,43,54,18,0.6,37.20%,22.20%,* / 18,0.567,37.20%,22.20%,* / 18,83,35,48,15,65.10%,45.70%,25.00%,* / 15,61.40%,45.70%,25.00%,* / 15,98,30,22,*,55.10%,53.30%,54.50%,* / *,52.00%,53.30%,54.50%,* / *,1.7,2.7,4.5,18,63.40%,35.70%,31.00%,0 / 9,69.00%,39.30%,34.50%,0 / 9,69.00%,39.30%,34.50%,0 / 9,1.1,1.1,1.2,1.4,1.1,0.6,0.4,0.2,*,*,37,13,* / *,* / *,56.80%,13-May,* / *,* / *,54.10%,* / 13,233,166,106,84,589,2.80%,17.50%,13.00%,14.70%,10.50%,7.00%,9.90%,9.00%,17.70%,9.60%,3.00%,2.40%,0.90%,0.00%,2.00%,3.30%,10.60%,1.90%,6.30%,5.50%,96.70%,96.50%,100.00%,91.70%,96.40%,0.74,75.30%,65.40%,45.80%,68.50%,0.78,69.40%,80.80%,45.80%,71.10%,59%,9%,18%,0.12,16%,76%,1%,0.45,38%,3%,80%,10%,<1%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ,"Scottsdale, Maricopa County, Arizona, United States","(33.4942189, -111.9260184, 0.0)",33.4942189,-111.9260184
